,"filename","prompt","original_vid_fps","sampling_fps","pose_height_class","pose_height_value","translation","pose_misc","pose_metadata_filename","person_placeholder","action_placeholder","place_placeholder","experiment_comment"
13,"001_StandUpAndSit_hrnet_stickfigure_5_normal_Zin5_NA.npy","A woman gets up and sits back on a chair in a park. The camera moves closer to the person.",15,5,"normal",350,"Zin5","NA","001_StandUpAndSit","A woman","gets up and sits back on a chair","in a park","camera_motion"
14,"001_StandUpAndSit_hrnet_stickfigure_5_normal_Zin10_NA.npy","A man gets up and sits back on a chair in a park. The camera moves closer to the person.",15,5,"normal",350,"Zin10","NA","001_StandUpAndSit","A man","gets up and sits back on a chair","in a park","camera_motion"
15,"001_StandUpAndSit_hrnet_stickfigure_5_normal_Zin10_NA.npy","A woman gets up and sits back on a chair in a park. The camera moves closer to the person.",15,5,"normal",350,"Zin10","NA","001_StandUpAndSit","A woman","gets up and sits back on a chair","in a park","camera_motion"
16,"001_StandUpAndSit_hrnet_stickfigure_5_normal_Zout5_NA.npy","A man gets up and sits back on a chair in a park. The camera moves away from the person.",15,5,"normal",350,"Zout5","NA","001_StandUpAndSit","A man","gets up and sits back on a chair","in a park","camera_motion"
17,"001_StandUpAndSit_hrnet_stickfigure_5_normal_Zout5_NA.npy","A woman gets up and sits back on a chair in a park. The camera moves away from the person.",15,5,"normal",350,"Zout5","NA","001_StandUpAndSit","A woman","gets up and sits back on a chair","in a park","camera_motion"
18,"001_StandUpAndSit_hrnet_stickfigure_5_normal_Zout10_NA.npy","A man gets up and sits back on a chair in a park. The camera moves away from the person.",15,5,"normal",350,"Zout10","NA","001_StandUpAndSit","A man","gets up and sits back on a chair","in a park","camera_motion"
19,"001_StandUpAndSit_hrnet_stickfigure_5_normal_Zout10_NA.npy","A woman gets up and sits back on a chair in a park. The camera moves away from the person.",15,5,"normal",350,"Zout10","NA","001_StandUpAndSit","A woman","gets up and sits back on a chair","in a park","camera_motion"
20,"002_StandingJog_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A man jogging in the same spot in a park. The camera moves from left to right.",15,5,"normal",365,"L2Rst2","NA","002_StandingJog","A man","jogging in the same spot","in a park","camera_motion"
21,"002_StandingJog_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A woman jogging in the same spot in a park. The camera moves from left to right.",15,5,"normal",365,"L2Rst2","NA","002_StandingJog","A woman","jogging in the same spot","in a park","camera_motion"
22,"002_StandingJog_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A man jogging in the same spot in a park. The camera moves from left to right.",15,5,"normal",365,"L2Rst5","NA","002_StandingJog","A man","jogging in the same spot","in a park","camera_motion"
23,"002_StandingJog_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A woman jogging in the same spot in a park. The camera moves from left to right.",15,5,"normal",365,"L2Rst5","NA","002_StandingJog","A woman","jogging in the same spot","in a park","camera_motion"
24,"002_StandingJog_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A man jogging in the same spot in a park. The camera moves from left to right.",15,5,"normal",365,"L2Rst8","NA","002_StandingJog","A man","jogging in the same spot","in a park","camera_motion"
25,"002_StandingJog_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A woman jogging in the same spot in a park. The camera moves from left to right.",15,5,"normal",365,"L2Rst8","NA","002_StandingJog","A woman","jogging in the same spot","in a park","camera_motion"
26,"002_StandingJog_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A man jogging in the same spot in a park. The camera moves from right to left.",15,5,"normal",365,"R2Lst2","NA","002_StandingJog","A man","jogging in the same spot","in a park","camera_motion"
27,"002_StandingJog_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A woman jogging in the same spot in a park. The camera moves from right to left.",15,5,"normal",365,"R2Lst2","NA","002_StandingJog","A woman","jogging in the same spot","in a park","camera_motion"
28,"002_StandingJog_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A man jogging in the same spot in a park. The camera moves from right to left.",15,5,"normal",365,"R2Lst5","NA","002_StandingJog","A man","jogging in the same spot","in a park","camera_motion"
29,"002_StandingJog_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A woman jogging in the same spot in a park. The camera moves from right to left.",15,5,"normal",365,"R2Lst5","NA","002_StandingJog","A woman","jogging in the same spot","in a park","camera_motion"
30,"002_StandingJog_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A man jogging in the same spot in a park. The camera moves from right to left.",15,5,"normal",365,"R2Lst8","NA","002_StandingJog","A man","jogging in the same spot","in a park","camera_motion"
31,"002_StandingJog_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A woman jogging in the same spot in a park. The camera moves from right to left.",15,5,"normal",365,"R2Lst8","NA","002_StandingJog","A woman","jogging in the same spot","in a park","camera_motion"
32,"002_StandingJog_hrnet_stickfigure_5_normal_Zin5_NA.npy","A man jogging in the same spot in a park. The camera moves closer to the person.",15,5,"normal",365,"Zin5","NA","002_StandingJog","A man","jogging in the same spot","in a park","camera_motion"
33,"002_StandingJog_hrnet_stickfigure_5_normal_Zin5_NA.npy","A woman jogging in the same spot in a park. The camera moves closer to the person.",15,5,"normal",365,"Zin5","NA","002_StandingJog","A woman","jogging in the same spot","in a park","camera_motion"
34,"002_StandingJog_hrnet_stickfigure_5_normal_Zin10_NA.npy","A man jogging in the same spot in a park. The camera moves closer to the person.",15,5,"normal",365,"Zin10","NA","002_StandingJog","A man","jogging in the same spot","in a park","camera_motion"
35,"002_StandingJog_hrnet_stickfigure_5_normal_Zin10_NA.npy","A woman jogging in the same spot in a park. The camera moves closer to the person.",15,5,"normal",365,"Zin10","NA","002_StandingJog","A woman","jogging in the same spot","in a park","camera_motion"
36,"002_StandingJog_hrnet_stickfigure_5_normal_Zout5_NA.npy","A man jogging in the same spot in a park. The camera moves away from the person.",15,5,"normal",365,"Zout5","NA","002_StandingJog","A man","jogging in the same spot","in a park","camera_motion"
37,"002_StandingJog_hrnet_stickfigure_5_normal_Zout5_NA.npy","A woman jogging in the same spot in a park. The camera moves away from the person.",15,5,"normal",365,"Zout5","NA","002_StandingJog","A woman","jogging in the same spot","in a park","camera_motion"
38,"002_StandingJog_hrnet_stickfigure_5_normal_Zout10_NA.npy","A man jogging in the same spot in a park. The camera moves away from the person.",15,5,"normal",365,"Zout10","NA","002_StandingJog","A man","jogging in the same spot","in a park","camera_motion"
39,"002_StandingJog_hrnet_stickfigure_5_normal_Zout10_NA.npy","A woman jogging in the same spot in a park. The camera moves away from the person.",15,5,"normal",365,"Zout10","NA","002_StandingJog","A woman","jogging in the same spot","in a park","camera_motion"
40,"003_StandingWave_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A man waving both hands in a park. The camera moves from left to right.",25,5,"normal",354,"L2Rst2","NA","003_StandingWave","A man","waving both hands","in a park","camera_motion"
41,"003_StandingWave_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A woman waving both hands in a park. The camera moves from left to right.",25,5,"normal",354,"L2Rst2","NA","003_StandingWave","A woman","waving both hands","in a park","camera_motion"
42,"003_StandingWave_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A man waving both hands in a park. The camera moves from left to right.",25,5,"normal",354,"L2Rst5","NA","003_StandingWave","A man","waving both hands","in a park","camera_motion"
43,"003_StandingWave_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A woman waving both hands in a park. The camera moves from left to right.",25,5,"normal",354,"L2Rst5","NA","003_StandingWave","A woman","waving both hands","in a park","camera_motion"
44,"003_StandingWave_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A man waving both hands in a park. The camera moves from left to right.",25,5,"normal",354,"L2Rst8","NA","003_StandingWave","A man","waving both hands","in a park","camera_motion"
45,"003_StandingWave_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A woman waving both hands in a park. The camera moves from left to right.",25,5,"normal",354,"L2Rst8","NA","003_StandingWave","A woman","waving both hands","in a park","camera_motion"
46,"003_StandingWave_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A man waving both hands in a park. The camera moves from right to left.",25,5,"normal",354,"R2Lst2","NA","003_StandingWave","A man","waving both hands","in a park","camera_motion"
47,"003_StandingWave_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A woman waving both hands in a park. The camera moves from right to left.",25,5,"normal",354,"R2Lst2","NA","003_StandingWave","A woman","waving both hands","in a park","camera_motion"
48,"003_StandingWave_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A man waving both hands in a park. The camera moves from right to left.",25,5,"normal",354,"R2Lst5","NA","003_StandingWave","A man","waving both hands","in a park","camera_motion"
49,"003_StandingWave_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A woman waving both hands in a park. The camera moves from right to left.",25,5,"normal",354,"R2Lst5","NA","003_StandingWave","A woman","waving both hands","in a park","camera_motion"
50,"003_StandingWave_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A man waving both hands in a park. The camera moves from right to left.",25,5,"normal",354,"R2Lst8","NA","003_StandingWave","A man","waving both hands","in a park","camera_motion"
51,"003_StandingWave_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A woman waving both hands in a park. The camera moves from right to left.",25,5,"normal",354,"R2Lst8","NA","003_StandingWave","A woman","waving both hands","in a park","camera_motion"
52,"003_StandingWave_hrnet_stickfigure_5_normal_Zin5_NA.npy","A man waving both hands in a park. The camera moves closer to the person.",25,5,"normal",354,"Zin5","NA","003_StandingWave","A man","waving both hands","in a park","camera_motion"
53,"003_StandingWave_hrnet_stickfigure_5_normal_Zin5_NA.npy","A woman waving both hands in a park. The camera moves closer to the person.",25,5,"normal",354,"Zin5","NA","003_StandingWave","A woman","waving both hands","in a park","camera_motion"
54,"003_StandingWave_hrnet_stickfigure_5_normal_Zin10_NA.npy","A man waving both hands in a park. The camera moves closer to the person.",25,5,"normal",354,"Zin10","NA","003_StandingWave","A man","waving both hands","in a park","camera_motion"
55,"003_StandingWave_hrnet_stickfigure_5_normal_Zin10_NA.npy","A woman waving both hands in a park. The camera moves closer to the person.",25,5,"normal",354,"Zin10","NA","003_StandingWave","A woman","waving both hands","in a park","camera_motion"
56,"003_StandingWave_hrnet_stickfigure_5_normal_Zout5_NA.npy","A man waving both hands in a park. The camera moves away from the person.",25,5,"normal",354,"Zout5","NA","003_StandingWave","A man","waving both hands","in a park","camera_motion"
57,"003_StandingWave_hrnet_stickfigure_5_normal_Zout5_NA.npy","A woman waving both hands in a park. The camera moves away from the person.",25,5,"normal",354,"Zout5","NA","003_StandingWave","A woman","waving both hands","in a park","camera_motion"
58,"003_StandingWave_hrnet_stickfigure_5_normal_Zout10_NA.npy","A man waving both hands in a park. The camera moves away from the person.",25,5,"normal",354,"Zout10","NA","003_StandingWave","A man","waving both hands","in a park","camera_motion"
59,"003_StandingWave_hrnet_stickfigure_5_normal_Zout10_NA.npy","A woman waving both hands in a park. The camera moves away from the person.",25,5,"normal",354,"Zout10","NA","003_StandingWave","A woman","waving both hands","in a park","camera_motion"
60,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A man performing jumping jacks in a park. The camera moves from left to right.",29.97,5,"normal",349,"L2Rst2","NA","004_JumpingJacksFront","A man","performing jumping jacks","in a park","camera_motion"
61,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A woman performing jumping jacks in a park. The camera moves from left to right.",29.97,5,"normal",349,"L2Rst2","NA","004_JumpingJacksFront","A woman","performing jumping jacks","in a park","camera_motion"
62,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A man performing jumping jacks in a park. The camera moves from left to right.",29.97,5,"normal",349,"L2Rst5","NA","004_JumpingJacksFront","A man","performing jumping jacks","in a park","camera_motion"
63,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A woman performing jumping jacks in a park. The camera moves from left to right.",29.97,5,"normal",349,"L2Rst5","NA","004_JumpingJacksFront","A woman","performing jumping jacks","in a park","camera_motion"
64,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A man performing jumping jacks in a park. The camera moves from left to right.",29.97,5,"normal",349,"L2Rst8","NA","004_JumpingJacksFront","A man","performing jumping jacks","in a park","camera_motion"
65,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A woman performing jumping jacks in a park. The camera moves from left to right.",29.97,5,"normal",349,"L2Rst8","NA","004_JumpingJacksFront","A woman","performing jumping jacks","in a park","camera_motion"
66,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A man performing jumping jacks in a park. The camera moves from right to left.",29.97,5,"normal",349,"R2Lst2","NA","004_JumpingJacksFront","A man","performing jumping jacks","in a park","camera_motion"
67,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A woman performing jumping jacks in a park. The camera moves from right to left.",29.97,5,"normal",349,"R2Lst2","NA","004_JumpingJacksFront","A woman","performing jumping jacks","in a park","camera_motion"
68,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A man performing jumping jacks in a park. The camera moves from right to left.",29.97,5,"normal",349,"R2Lst5","NA","004_JumpingJacksFront","A man","performing jumping jacks","in a park","camera_motion"
69,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A woman performing jumping jacks in a park. The camera moves from right to left.",29.97,5,"normal",349,"R2Lst5","NA","004_JumpingJacksFront","A woman","performing jumping jacks","in a park","camera_motion"
70,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A man performing jumping jacks in a park. The camera moves from right to left.",29.97,5,"normal",349,"R2Lst8","NA","004_JumpingJacksFront","A man","performing jumping jacks","in a park","camera_motion"
71,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A woman performing jumping jacks in a park. The camera moves from right to left.",29.97,5,"normal",349,"R2Lst8","NA","004_JumpingJacksFront","A woman","performing jumping jacks","in a park","camera_motion"
72,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_Zin5_NA.npy","A man performing jumping jacks in a park. The camera moves closer to the person.",29.97,5,"normal",349,"Zin5","NA","004_JumpingJacksFront","A man","performing jumping jacks","in a park","camera_motion"
73,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_Zin5_NA.npy","A woman performing jumping jacks in a park. The camera moves closer to the person.",29.97,5,"normal",349,"Zin5","NA","004_JumpingJacksFront","A woman","performing jumping jacks","in a park","camera_motion"
74,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_Zin10_NA.npy","A man performing jumping jacks in a park. The camera moves closer to the person.",29.97,5,"normal",349,"Zin10","NA","004_JumpingJacksFront","A man","performing jumping jacks","in a park","camera_motion"
75,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_Zin10_NA.npy","A woman performing jumping jacks in a park. The camera moves closer to the person.",29.97,5,"normal",349,"Zin10","NA","004_JumpingJacksFront","A woman","performing jumping jacks","in a park","camera_motion"
76,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_Zout5_NA.npy","A man performing jumping jacks in a park. The camera moves away from the person.",29.97,5,"normal",349,"Zout5","NA","004_JumpingJacksFront","A man","performing jumping jacks","in a park","camera_motion"
77,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_Zout5_NA.npy","A woman performing jumping jacks in a park. The camera moves away from the person.",29.97,5,"normal",349,"Zout5","NA","004_JumpingJacksFront","A woman","performing jumping jacks","in a park","camera_motion"
78,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_Zout10_NA.npy","A man performing jumping jacks in a park. The camera moves away from the person.",29.97,5,"normal",349,"Zout10","NA","004_JumpingJacksFront","A man","performing jumping jacks","in a park","camera_motion"
79,"004_JumpingJacksFront_hrnet_stickfigure_5_normal_Zout10_NA.npy","A woman performing jumping jacks in a park. The camera moves away from the person.",29.97,5,"normal",349,"Zout10","NA","004_JumpingJacksFront","A woman","performing jumping jacks","in a park","camera_motion"
80,"005_BendFacingFront_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A man picking something up with their left hand twice in a park. The camera moves from left to right.",15,5,"normal",339,"L2Rst2","NA","005_BendFacingFront","A man","picking something up with their left hand twice","in a park","camera_motion"
81,"005_BendFacingFront_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A woman picking something up with their left hand twice in a park. The camera moves from left to right.",15,5,"normal",339,"L2Rst2","NA","005_BendFacingFront","A woman","picking something up with their left hand twice","in a park","camera_motion"
82,"005_BendFacingFront_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A man picking something up with their left hand twice in a park. The camera moves from left to right.",15,5,"normal",339,"L2Rst5","NA","005_BendFacingFront","A man","picking something up with their left hand twice","in a park","camera_motion"
83,"005_BendFacingFront_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A woman picking something up with their left hand twice in a park. The camera moves from left to right.",15,5,"normal",339,"L2Rst5","NA","005_BendFacingFront","A woman","picking something up with their left hand twice","in a park","camera_motion"
84,"005_BendFacingFront_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A man picking something up with their left hand twice in a park. The camera moves from left to right.",15,5,"normal",339,"L2Rst8","NA","005_BendFacingFront","A man","picking something up with their left hand twice","in a park","camera_motion"
85,"005_BendFacingFront_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A woman picking something up with their left hand twice in a park. The camera moves from left to right.",15,5,"normal",339,"L2Rst8","NA","005_BendFacingFront","A woman","picking something up with their left hand twice","in a park","camera_motion"
86,"005_BendFacingFront_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A man picking something up with their left hand twice in a park. The camera moves from right to left.",15,5,"normal",339,"R2Lst2","NA","005_BendFacingFront","A man","picking something up with their left hand twice","in a park","camera_motion"
87,"005_BendFacingFront_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A woman picking something up with their left hand twice in a park. The camera moves from right to left.",15,5,"normal",339,"R2Lst2","NA","005_BendFacingFront","A woman","picking something up with their left hand twice","in a park","camera_motion"
88,"005_BendFacingFront_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A man picking something up with their left hand twice in a park. The camera moves from right to left.",15,5,"normal",339,"R2Lst5","NA","005_BendFacingFront","A man","picking something up with their left hand twice","in a park","camera_motion"
89,"005_BendFacingFront_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A woman picking something up with their left hand twice in a park. The camera moves from right to left.",15,5,"normal",339,"R2Lst5","NA","005_BendFacingFront","A woman","picking something up with their left hand twice","in a park","camera_motion"
90,"005_BendFacingFront_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A man picking something up with their left hand twice in a park. The camera moves from right to left.",15,5,"normal",339,"R2Lst8","NA","005_BendFacingFront","A man","picking something up with their left hand twice","in a park","camera_motion"
91,"005_BendFacingFront_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A woman picking something up with their left hand twice in a park. The camera moves from right to left.",15,5,"normal",339,"R2Lst8","NA","005_BendFacingFront","A woman","picking something up with their left hand twice","in a park","camera_motion"
92,"005_BendFacingFront_hrnet_stickfigure_5_normal_Zin5_NA.npy","A man picking something up with their left hand twice in a park. The camera moves closer to the person.",15,5,"normal",339,"Zin5","NA","005_BendFacingFront","A man","picking something up with their left hand twice","in a park","camera_motion"
93,"005_BendFacingFront_hrnet_stickfigure_5_normal_Zin5_NA.npy","A woman picking something up with their left hand twice in a park. The camera moves closer to the person.",15,5,"normal",339,"Zin5","NA","005_BendFacingFront","A woman","picking something up with their left hand twice","in a park","camera_motion"
94,"005_BendFacingFront_hrnet_stickfigure_5_normal_Zin10_NA.npy","A man picking something up with their left hand twice in a park. The camera moves closer to the person.",15,5,"normal",339,"Zin10","NA","005_BendFacingFront","A man","picking something up with their left hand twice","in a park","camera_motion"
95,"005_BendFacingFront_hrnet_stickfigure_5_normal_Zin10_NA.npy","A woman picking something up with their left hand twice in a park. The camera moves closer to the person.",15,5,"normal",339,"Zin10","NA","005_BendFacingFront","A woman","picking something up with their left hand twice","in a park","camera_motion"
96,"005_BendFacingFront_hrnet_stickfigure_5_normal_Zout5_NA.npy","A man picking something up with their left hand twice in a park. The camera moves away from the person.",15,5,"normal",339,"Zout5","NA","005_BendFacingFront","A man","picking something up with their left hand twice","in a park","camera_motion"
97,"005_BendFacingFront_hrnet_stickfigure_5_normal_Zout5_NA.npy","A woman picking something up with their left hand twice in a park. The camera moves away from the person.",15,5,"normal",339,"Zout5","NA","005_BendFacingFront","A woman","picking something up with their left hand twice","in a park","camera_motion"
98,"005_BendFacingFront_hrnet_stickfigure_5_normal_Zout10_NA.npy","A man picking something up with their left hand twice in a park. The camera moves away from the person.",15,5,"normal",339,"Zout10","NA","005_BendFacingFront","A man","picking something up with their left hand twice","in a park","camera_motion"
99,"005_BendFacingFront_hrnet_stickfigure_5_normal_Zout10_NA.npy","A woman picking something up with their left hand twice in a park. The camera moves away from the person.",15,5,"normal",339,"Zout10","NA","005_BendFacingFront","A woman","picking something up with their left hand twice","in a park","camera_motion"
100,"006_OnSpotDance_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A man dancing at the same spot in a park. The camera moves from left to right.",24,5,"normal",358,"L2Rst2","NA","006_OnSpotDance","A man","dancing at the same spot","in a park","camera_motion"
101,"006_OnSpotDance_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A woman dancing at the same spot in a park. The camera moves from left to right.",24,5,"normal",358,"L2Rst2","NA","006_OnSpotDance","A woman","dancing at the same spot","in a park","camera_motion"
102,"006_OnSpotDance_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A man dancing at the same spot in a park. The camera moves from left to right.",24,5,"normal",358,"L2Rst5","NA","006_OnSpotDance","A man","dancing at the same spot","in a park","camera_motion"
103,"006_OnSpotDance_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A woman dancing at the same spot in a park. The camera moves from left to right.",24,5,"normal",358,"L2Rst5","NA","006_OnSpotDance","A woman","dancing at the same spot","in a park","camera_motion"
104,"006_OnSpotDance_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A man dancing at the same spot in a park. The camera moves from left to right.",24,5,"normal",358,"L2Rst8","NA","006_OnSpotDance","A man","dancing at the same spot","in a park","camera_motion"
105,"006_OnSpotDance_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A woman dancing at the same spot in a park. The camera moves from left to right.",24,5,"normal",358,"L2Rst8","NA","006_OnSpotDance","A woman","dancing at the same spot","in a park","camera_motion"
106,"006_OnSpotDance_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A man dancing at the same spot in a park. The camera moves from right to left.",24,5,"normal",358,"R2Lst2","NA","006_OnSpotDance","A man","dancing at the same spot","in a park","camera_motion"
107,"006_OnSpotDance_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A woman dancing at the same spot in a park. The camera moves from right to left.",24,5,"normal",358,"R2Lst2","NA","006_OnSpotDance","A woman","dancing at the same spot","in a park","camera_motion"
108,"006_OnSpotDance_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A man dancing at the same spot in a park. The camera moves from right to left.",24,5,"normal",358,"R2Lst5","NA","006_OnSpotDance","A man","dancing at the same spot","in a park","camera_motion"
109,"006_OnSpotDance_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A woman dancing at the same spot in a park. The camera moves from right to left.",24,5,"normal",358,"R2Lst5","NA","006_OnSpotDance","A woman","dancing at the same spot","in a park","camera_motion"
110,"006_OnSpotDance_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A man dancing at the same spot in a park. The camera moves from right to left.",24,5,"normal",358,"R2Lst8","NA","006_OnSpotDance","A man","dancing at the same spot","in a park","camera_motion"
111,"006_OnSpotDance_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A woman dancing at the same spot in a park. The camera moves from right to left.",24,5,"normal",358,"R2Lst8","NA","006_OnSpotDance","A woman","dancing at the same spot","in a park","camera_motion"
112,"006_OnSpotDance_hrnet_stickfigure_5_normal_Zin5_NA.npy","A man dancing at the same spot in a park. The camera moves closer to the person.",24,5,"normal",358,"Zin5","NA","006_OnSpotDance","A man","dancing at the same spot","in a park","camera_motion"
